,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIA_POLÍTICA_,15-Sep-20,,JONATHAN_HARRIS_MD,M,05-Oct-15,,CIUDAD_MADERO,RICHARD21@HOTMAIL.COM
1,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_PLANIFICACIÓN_Y_DISEÑO_DEL_PAISAJE,20-Sep-20,,JAMIE_HARRELL,F,18-Sep-67,,VILLA_ADELINA,JDALTON@HOTMAIL.COM
2,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_SOCIOLOGÍA_,26-Dec-20,,ROGER_GREGORY,M,22-May-87,,CANDELARIA,JUANMAY@HOTMAIL.COM
3,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,29-Oct-20,,BRITTANY_LANDRY,F,20-Feb-08,,AGUA_SEBALLE,ITORRES@YAHOO.COM
4,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,BIOQUÍMICA,26-Oct-20,,DANIELLE_WHEELER,F,25-Aug-61,,BERMUDEZ,TIFFANYWASHINGTON@HOTMAIL.COM
5,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,06-Oct-20,,REBECCA_BENSON,F,06-Oct-51,,ATALIVA_ROCA,JMONROE@HOTMAIL.COM
6,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,ACTUARIO_,20-Jan-21,,KELSEY_WARD,F,23-Mar-00,,AERO_CLUB_ROSARIO,VERONICALEWIS@GMAIL.COM
7,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,DISEÑO_DE_IMAGEN_Y_SONIDO,24-Nov-20,,CHRISTINE_MITCHELL,F,25-Sep-12,,SAN_NICOLAS_DE_LOS_ARROYOS,MALONEJOSEPH@HOTMAIL.COM
8,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_AMBIENTALES,16-Sep-20,,MICHAEL_NIELSEN,M,21-Nov-18,,ABRA_DEL_TRIGO,FFLORES@GMAIL.COM
9,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIA_POLÍTICA_,17-Jan-21,,JESSICA_LI,F,02-Apr-54,,RIO_TALA,XGOLDEN@HOTMAIL.COM
