,university,career,inscription_date,full_name,gender,date_of_birth,postal_code,location,email
0,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_ADMINISTRACIÓN_,2020-09-17,JAMES_GONZALEZ,M,2042-03-08,,CORONEL_ISLEÑOS,JOSEPHJACKSON@HOTMAIL.COM
1,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_RELACIONES_DEL_TRABAJO_,2020-10-01,CHRISTOPHER_RUSSELL,M,2046-04-04,,BELLOCQ,PATTERSONJEREMY@GMAIL.COM
2,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_AMBIENTALES,2020-09-29,MONICA_FARLEY,F,1972-10-02,,CAÑADA_RICA,MARIA48@YAHOO.COM
3,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_Y_TECNOLOGÍA_DE_ALIMENTOS,2020-12-21,TAMMY_SUTTON,F,2052-06-18,,FRANCISCO_MADERO,CHARLES28@HOTMAIL.COM
4,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_TERAPIA_OCUPACIONAL,2021-01-15,SYDNEY_PRICE,F,2036-06-12,,PELLEGRINI,SINGLETONJOSHUA@YAHOO.COM
5,UNIVERSIDAD_DEL_SALVADOR,BIOQUÍMICA,2020-11-21,ANTHONY_BAIRD,M,1970-09-08,,JOSE_CLEMENTE_PAZ,HERNANDEZANDREW@HOTMAIL.COM
6,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_POLÍTICA_,2020-11-02,ADAM_CLARK,M,1989-09-22,,CHANILAO,YMILLS@GMAIL.COM
7,UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_ELECTRÓNICA,2020-12-10,CHERYL_CRUZ,F,2051-03-18,,BANFIELD,CHARLENEBARKER@GMAIL.COM
8,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_PRODUCCIÓN_DE_BIOIMAGENES,2020-12-28,REGINA_HUTCHINSON,F,2060-03-27,,CASTILLA,SIMPSONMICHELLE@HOTMAIL.COM
9,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_ANTROPOLÓGICAS,2020-09-29,TODD_FRAZIER,M,2030-06-12,,ALBERTO_FLORES,AMYNEAL@GMAIL.COM
